platform	target	subtarget	device	name	soc	edition	channel	max_feature
mtk	mediatek	filogic	cmcc_a10-stock	CMCC A10	mt7981	open	edge	standard
mtk	mediatek	filogic	cmcc_a10-stock	CMCC A10	mt7981	open	lts	standard
mtk	mediatek	filogic	cmcc_a10-stock	CMCC A10	mt7981	pro	edge	standard
mtk	mediatek	filogic	cmcc_a10-stock	CMCC A10	mt7981	pro	lts	standard
mtk	mediatek	filogic	cmcc_a10-ubootmod	CMCC A10	mt7981	open	edge	standard
mtk	mediatek	filogic	cmcc_a10-ubootmod	CMCC A10	mt7981	open	lts	standard
mtk	mediatek	filogic	cmcc_a10-ubootmod	CMCC A10	mt7981	pro	edge	standard
mtk	mediatek	filogic	cmcc_a10-ubootmod	CMCC A10	mt7981	pro	lts	standard
mtk	mediatek	filogic	cmcc_rax3000m	CMCC RAX3000M	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	cmcc_rax3000m	CMCC RAX3000M	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	cmcc_rax3000m	CMCC RAX3000M	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	cmcc_rax3000m	CMCC RAX3000M	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	cmcc_rax3000me	CMCC RAX3000Me	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	cmcc_rax3000me	CMCC RAX3000Me	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	cmcc_rax3000me	CMCC RAX3000Me	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	cmcc_rax3000me	CMCC RAX3000Me	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	comfast_cf-e393ax	COMFAST CF-E393AX	mt7981	open	edge	standard
mtk	mediatek	filogic	comfast_cf-e393ax	COMFAST CF-E393AX	mt7981	open	lts	standard
mtk	mediatek	filogic	comfast_cf-e393ax	COMFAST CF-E393AX	mt7981	pro	edge	standard
mtk	mediatek	filogic	comfast_cf-e393ax	COMFAST CF-E393AX	mt7981	pro	lts	standard
mtk	mediatek	filogic	comfast_cf-wr632ax	COMFAST CF-WR632AX	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	comfast_cf-wr632ax	COMFAST CF-WR632AX	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	comfast_cf-wr632ax	COMFAST CF-WR632AX	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	comfast_cf-wr632ax	COMFAST CF-WR632AX	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	comfast_cf-wr632ax-ubootmod	COMFAST CF-WR632AX	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	comfast_cf-wr632ax-ubootmod	COMFAST CF-WR632AX	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	comfast_cf-wr632ax-ubootmod	COMFAST CF-WR632AX	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	comfast_cf-wr632ax-ubootmod	COMFAST CF-WR632AX	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	comfast_cf-xr186	COMFAST CF-XR186	mt7981	open	edge	standard
mtk	mediatek	filogic	confiabits_mt7981	Confiabits MT7981	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	confiabits_mt7981	Confiabits MT7981	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	confiabits_mt7981	Confiabits MT7981	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	confiabits_mt7981	Confiabits MT7981	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	creatlentem_clt-r30b1	CreatLentem CLT-R30B1	mt7981	open	edge	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1	CreatLentem CLT-R30B1	mt7981	open	lts	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1	CreatLentem CLT-R30B1	mt7981	pro	edge	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1	CreatLentem CLT-R30B1	mt7981	pro	lts	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1-112m	CreatLentem CLT-R30B1 112M	mt7981	open	edge	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1-112m	CreatLentem CLT-R30B1 112M	mt7981	open	lts	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1-112m	CreatLentem CLT-R30B1 112M	mt7981	pro	edge	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1-112m	CreatLentem CLT-R30B1 112M	mt7981	pro	lts	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1-ubi	CreatLentem CLT-R30B1	mt7981	open	edge	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1-ubi	CreatLentem CLT-R30B1	mt7981	open	lts	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1-ubi	CreatLentem CLT-R30B1	mt7981	pro	edge	standard
mtk	mediatek	filogic	creatlentem_clt-r30b1-ubi	CreatLentem CLT-R30B1	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_ap3000-v1	Cudy AP3000 v1	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_ap3000-v1	Cudy AP3000 v1	mt7981	open	lts	standard
mtk	mediatek	filogic	cudy_ap3000-v1	Cudy AP3000 v1	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_ap3000-v1	Cudy AP3000 v1	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_ap3000outdoor-v1	Cudy AP3000 Outdoor v1	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_ap3000outdoor-v1	Cudy AP3000 Outdoor v1	mt7981	open	lts	standard
